State	Melanoma.males	Per.cap.GDP	Latitude
Austria	11.1	45562	48
Belgium	10.4	43671	50
Bulgaria	4.8	6423	42
Cyprus	3.5	31280	35
Czech.Republic	18.4	18139	50
Denmark	20.4	55992	55
Estonia	8	14238	59
Finland	16	45515	60
France	9.8	45523	48
Germany	15.5	40079	52
Greece	3.3	32166	37
Hungary	12.9	13741	47
Ireland	14.5	58339	53
Italy	11.6	35494	41
Latvia	5	11931	56
Lithuania	6.6	11353	54
Luxembourg	12.2	99879	49
Malta	7.7	21272	35
Netherlands	19.2	46041	52
Poland	7.3	12274	52
Portugal	4.7	20762	38
Romania	3.5	7703	44
Slovakia	13	13887	48
Slovenia	18.9	22523	46
Spain	6.3	31846	40
Sweden	21.8	48584	59
UK	15.9	44693	51
